tick,0,1,2,3,4,5
5.53,-32,8,65,-36,-48,59
5.54,-32,7,66,-35,-49,58
5.55,-31,5,66,-33,-50,57
5.5600000000000005,-30,3,67,-31,-52,56
5.57,-29,2,67,-29,-53,54
5.58,-29,0,68,-28,-54,53
5.59,-28,0,68,-27,-55,52
5.6000000000000005,-27,-2,68,-24,-57,50
5.61,-26,-4,69,-23,-58,49
5.62,-25,-6,69,-21,-59,48
5.63,-24,-7,69,-19,-60,46
5.64,-23,-9,69,-19,-60,45
5.65,-22,-10,69,-17,-61,43
5.66,-21,-12,69,-15,-62,43
5.67,-20,-14,69,-13,-63,41
5.68,-19,-15,69,-12,-64,39
5.69,-18,-17,69,-10,-64,38
5.7,-17,-19,69,-8,-65,36
5.71,-16,-20,69,-6,-66,34
5.72,-15,-22,69,-5,-66,33
5.73,-14,-24,69,-3,-67,31
5.74,-12,-25,68,-1,-67,29
5.75,-11,-27,68,0,-68,28
5.76,-10,-29,67,1,-68,26
5.7700000000000005,-9,-31,67,3,-68,25
5.78,-7,-32,66,4,-69,22
5.79,-6,-34,66,6,-69,21
5.8,-4,-36,65,8,-69,19
5.8100000000000005,-3,-38,64,10,-69,17
5.82,-1,-40,63,12,-69,14
5.83,0,-42,62,14,-69,12
5.84,1,-43,61,16,-69,11
5.8500000000000005,2,-45,60,18,-69,9
5.86,4,-47,59,20,-69,6
5.87,5,-49,58,22,-69,5
5.88,7,-51,57,24,-68,2
5.89,9,-52,55,27,-68,0
5.9,11,-54,53,29,-67,-1
5.91,13,-56,51,32,-67,-4
5.92,14,-58,49,34,-66,-6
5.93,16,-59,47,37,-65,-9
5.94,18,-61,44,40,-63,-12
5.95,20,-62,42,43,-62,-15
5.96,22,-64,39,45,-60,-18
5.97,24,-65,36,48,-59,-21
5.98,25,-66,33,50,-57,-24
5.99,27,-67,31,52,-55,-26
6.0,28,-68,28,54,-53,-29
6.01,30,-68,25,56,-51,-32
6.0200000000000005,31,-69,21,59,-48,-36
6.03,33,-69,18,60,-45,-39
6.04,34,-69,15,62,-43,-42
6.05,35,-69,12,63,-40,-44
6.0600000000000005,36,-69,9,65,-37,-47
6.07,37,-69,7,66,-35,-49
6.08,38,-69,4,67,-32,-51
6.09,38,-68,1,67,-29,-53
6.1000000000000005,39,-68,0,68,-27,-55
6.11,40,-67,-2,68,-24,-57
6.12,40,-66,-5,69,-22,-58
6.13,41,-66,-7,69,-20,-59
6.140000000000001,41,-65,-9,69,-18,-60
